+====================+===================+=====================================+
| Launch Setup Clock | Launch Hold Clock | Pin                                 |
+====================+===================+=====================================+
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[31]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/sync_soft_rst_reg[0]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[30]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[57]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/sync_snap_req_reg[0]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[8]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/n_int_core_reg[1]/D      |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[18]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[26]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[63]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[30]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[0]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[25]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[56]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[20]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[38]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[51]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[33]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[48]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[49]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[2]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[62]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/n_int_core_reg[0]/D      |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[27]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[12]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[17]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[29]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[18]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[13]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[32]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[26]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[16]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[36]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[9]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[47]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[4]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[14]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[45]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[31]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[5]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[15]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[1]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[1]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[7]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[2]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/n_int_core_reg[3]/D      |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[37]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[35]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[34]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[9]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[3]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[41]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[39]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[21]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[58]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[53]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[10]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[42]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[25]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[54]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[14]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[22]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[61]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[5]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[23]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[59]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[3]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[46]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[50]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[19]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[52]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[13]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[6]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[29]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[17]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[19]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[21]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[60]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/sync_en_reg[0]/D         |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[0]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[23]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[27]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[15]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[55]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[16]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[28]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[20]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[4]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[24]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[12]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[44]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[11]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[11]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[28]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[7]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[40]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[22]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[6]/D   |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[8]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[43]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_idx_core_reg[10]/D  |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/prob_data_core_reg[24]/D |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/n_int_core_reg[2]/D      |
| clk_main_a0        | clk_main_a0       | WRAPPER/CL/sync_hard_rst_reg[0]/D   |
+--------------------+-------------------+-------------------------------------+
